,team_location,team_score,opponent_team_location,opponent_team_score,team_turnovers,blocks,steals,offensive_rebounds,defensive_rebounds,field_goals_attempted,three_point_field_goals_attempted,fouls,fast_break_points,free_throws_attempted,elo,opponent_elo,elo_delta,score_delta
568,Quinnipiac,77,Mount St. Mary's,62,1,1,13,7,25,61,22,21,12,19,1351.39,1260.19,91.20000000000005,15
570,Niagara,61,Fairfield,62,1,4,6,6,25,56,21,11,2,8,1023.36,1238.99,-215.63,-1
572,Canisius,66,Sacred Heart,69,1,3,7,8,29,63,30,14,15,7,1090.17,1200.63,-110.46000000000004,-3
574,Marist,50,Siena,69,0,3,5,3,21,53,20,12,3,5,1341.33,1329.38,11.949999999999818,-19
576,UNC Wilmington,70,William & Mary,77,0,2,4,14,30,58,35,24,7,33,1522.73,1358.54,164.19000000000005,-7
580,Towson,72,Elon,59,0,4,9,21,22,66,23,12,10,16,1355.75,1320.85,34.90000000000009,13
582,Monmouth,63,Hampton,65,1,5,6,11,24,55,21,21,22,12,1290.31,1233.71,56.59999999999991,-2
584,Hofstra,78,North Carolina A&T,79,0,1,5,10,20,61,33,23,10,20,1280.5,1150.56,129.94000000000005,-1
586,Stony Brook,95,Northeastern,80,1,3,5,10,29,56,29,14,6,20,1298.45,1168.08,130.37000000000012,15
588,South Alabama,90,James Madison,83,0,2,13,10,28,63,26,16,27,39,1408.04,1332.61,75.43000000000006,7
592,Arkansas State,85,Georgia Southern,68,2,6,10,10,32,57,26,21,13,23,1340.45,1299.91,40.539999999999964,17
594,Texas State,70,Coastal Carolina,72,0,0,6,12,27,66,13,23,4,21,1254.2,1290.79,-36.58999999999992,-2
596,Eastern Kentucky,85,North Florida,87,0,1,6,14,20,67,28,17,8,15,1137.52,1073.09,64.43000000000006,-2
598,Bellarmine,77,Jacksonville,70,2,2,5,6,19,52,17,13,8,14,1115.89,1202.42,-86.52999999999997,7
600,Green Bay,81,Youngstown State,88,1,4,6,7,19,54,18,17,8,19,1278.0,1205.33,72.67000000000007,-7
606,Binghamton,82,New Hampshire,88,3,4,7,9,39,67,16,26,4,18,958.72,1149.4,-190.68000000000006,-6
610,Central Arkansas,86,West Georgia,65,0,1,12,3,16,57,24,15,16,11,1233.52,1117.36,116.16000000000008,21
612,Stetson,74,Lipscomb,79,2,5,5,11,36,65,22,15,5,15,1131.14,1376.51,-245.3699999999999,-5
614,Florida Gulf Coast,62,Austin Peay,83,0,5,5,14,24,59,21,14,14,9,1208.3,1337.08,-128.77999999999997,-21
624,San Diego State,69,Grand Canyon,70,0,6,11,11,26,62,18,20,8,19,1612.65,1516.78,95.87000000000012,-1
628,Utah Tech,64,California Baptist,73,0,5,5,12,24,62,21,13,6,10,1246.11,1424.46,-178.35000000000014,-9
630,Washington State,92,San Diego,96,0,5,4,14,20,64,26,14,11,25,1334.53,1220.63,113.89999999999986,-4
632,Cincinnati,51,Arizona,77,0,1,4,11,22,56,21,21,5,14,1467.68,1826.82,-359.1399999999999,-26
634,Washington,66,Nebraska,76,1,3,3,10,23,61,21,13,0,10,1488.62,1720.83,-232.21000000000004,-10
636,Pepperdine,60,Gonzaga,84,0,4,5,10,24,58,22,18,2,14,1108.87,1743.3,-634.4300000000001,-24
638,Northern Iowa,54,Illinois State,59,0,3,5,7,22,57,18,18,3,14,1356.14,1449.27,-93.12999999999988,-5
640,Fresno State,74,New Mexico,83,1,5,2,10,33,54,29,16,18,26,1261.6,1614.09,-352.49,-9
642,West Virginia,75,Arizona State,63,1,0,7,6,23,53,24,19,15,13,1541.0,1433.83,107.17000000000007,12
644,Virginia Tech,76,Syracuse,74,0,3,9,8,26,51,17,15,25,36,1535.9,1404.49,131.41000000000008,2
646,Mississippi State,68,Texas A&M,88,2,4,1,11,28,60,23,18,4,15,1479.75,1624.51,-144.76,-20
648,Utah Valley,70,Southern Utah,84,0,4,8,18,17,70,26,20,6,20,1443.96,1124.6,319.3600000000001,-14
650,Southern Illinois,63,Valparaiso,69,0,0,6,12,23,51,14,24,12,30,1293.51,1331.49,-37.98000000000002,-6
652,UTSA,62,North Texas,81,1,9,6,8,17,50,23,19,11,24,1082.68,1366.58,-283.89999999999986,-19
654,Temple,69,Rice,65,0,7,3,11,22,58,16,10,4,17,1366.26,1220.67,145.58999999999992,4
656,Memphis,66,Tulsa,83,1,4,4,15,21,60,27,24,6,14,1450.87,1498.8,-47.930000000000064,-17
658,South Dakota,68,Omaha,64,2,2,7,3,25,48,24,17,7,21,1237.53,1249.39,-11.860000000000127,4
660,Tarleton State,64,UT Arlington,71,0,2,8,11,18,53,9,25,16,19,1204.34,1369.43,-165.09000000000015,-7
662,East Carolina,60,Wichita State,77,0,4,6,12,23,63,19,14,1,19,1202.22,1437.96,-235.74,-17
664,Liberty,76,Western Kentucky,69,1,2,10,4,24,45,29,15,3,24,1586.41,1277.0,309.4100000000001,7
666,Kennesaw State,87,Sam Houston,93,0,2,7,16,25,72,34,16,13,19,1353.78,1415.44,-61.66000000000008,-6
668,Maryland,70,Illinois,89,1,0,3,9,22,65,32,20,2,16,1404.58,1737.36,-332.78,-19
670,Notre Dame,69,North Carolina,91,0,0,5,18,21,75,25,16,2,13,1411.96,1618.04,-206.07999999999993,-22
672,Murray State,90,Drake,101,0,3,5,11,26,68,32,28,8,30,1444.73,1416.73,28.0,-11
674,Indiana State,68,Bradley,75,0,2,1,3,31,52,22,21,6,10,1236.05,1448.33,-212.27999999999997,-7
678,Rhode Island,69,Richmond,68,2,1,10,14,24,56,20,18,15,26,1428.69,1292.52,136.17000000000007,1
680,Fordham,63,Davidson,68,1,2,7,6,23,50,12,21,5,7,1236.68,1371.42,-134.74,-5
682,Tulane,74,Florida Atlantic,79,1,3,4,6,24,52,15,23,0,27,1347.61,1453.21,-105.60000000000014,-5
684,Army,87,Bucknell,84,0,4,5,12,21,59,31,17,3,21,1129.72,1078.13,51.58999999999992,3
686,Gardner-Webb,56,Longwood,91,0,0,9,13,16,57,19,12,9,12,998.94,1188.89,-189.95000000000005,-35
688,Charleston Southern,83,Presbyterian,87,2,3,4,10,24,69,34,25,3,8,1124.81,1185.99,-61.180000000000064,-4
690,Georgetown,51,Villanova,66,0,3,4,12,24,50,25,14,11,14,1395.12,1575.58,-180.46000000000004,-15
692,Xavier,93,Creighton,94,0,2,4,6,24,65,24,21,5,8,1418.8,1487.53,-68.73000000000002,-1
694,Pittsburgh,62,Boston College,65,0,3,6,15,26,63,22,15,8,17,1355.73,1317.58,38.15000000000009,-3
696,Holy Cross,68,Navy,85,0,1,3,8,20,54,19,21,4,12,1086.35,1344.01,-257.6600000000001,-17
698,Cleveland State,85,Wright State,79,0,5,4,4,28,53,23,20,8,22,1211.48,1357.04,-145.55999999999995,6
700,Purdue Fort Wayne,83,Detroit Mercy,76,0,2,6,9,28,63,30,17,9,24,1360.86,1151.58,209.27999999999997,7
704,Furman,75,The Citadel,77,0,4,3,12,27,65,29,22,2,16,1393.03,1068.57,324.46000000000004,-2
706,Western Carolina,76,Mercer,88,2,6,4,17,23,65,34,22,13,15,1182.65,1319.74,-137.08999999999992,-12
708,East Tennessee State,67,Chattanooga,66,0,3,11,13,25,66,19,14,12,11,1350.19,1248.25,101.94000000000005,1
710,Troy,83,Old Dominion,77,0,0,9,12,35,65,26,17,13,34,1456.41,1213.91,242.5,6
712,Texas,80,Kentucky,85,0,1,6,13,21,64,18,23,16,20,1506.73,1630.94,-124.21000000000004,-5
716,Dayton,64,La Salle,67,0,4,10,12,21,54,23,19,10,18,1445.16,1244.31,200.85000000000014,-3
718,Radford,75,Winthrop,76,0,4,6,6,25,45,22,19,5,24,1269.88,1407.07,-137.18999999999983,-1
720,Lafayette,73,Boston University,77,0,4,12,10,26,69,29,15,8,9,1057.31,1100.96,-43.65000000000009,-4
722,UNC Asheville,83,South Carolina Upstate,69,1,3,6,8,27,56,15,16,10,22,1243.7,1109.33,134.37000000000012,14
724,Samford,78,Wofford,88,1,3,5,8,18,59,27,17,0,14,1252.0,1401.04,-149.03999999999996,-10
726,UNC Greensboro,85,VMI,78,0,3,4,12,29,57,19,19,13,33,1202.61,1007.63,194.9799999999999,7
728,Kansas,75,Colorado,69,1,5,3,9,36,52,19,15,9,24,1674.85,1417.81,257.03999999999996,6
732,Purdue,67,UCLA,69,1,1,7,13,17,60,27,8,10,7,1701.37,1615.41,85.95999999999981,-2
736,Vanderbilt,68,Arkansas,93,1,2,5,9,18,58,31,14,8,19,1663.42,1664.33,-0.9099999999998545,-25
738,Michigan State,68,Oregon,52,3,7,3,6,25,49,20,10,10,9,1726.57,1389.56,337.01,16
740,Texas Tech,92,Baylor,73,0,1,7,5,23,55,27,16,6,11,1756.84,1448.68,308.15999999999985,19
742,Georgia,74,Missouri,72,0,4,5,19,25,65,29,11,10,21,1551.42,1511.6,39.820000000000164,2
744,Utah,78,Kansas State,81,1,4,5,10,24,65,23,14,11,10,1367.97,1406.21,-38.24000000000001,-3
748,Air Force,52,Colorado State,81,1,0,3,6,24,53,30,20,10,12,1052.74,1416.88,-364.1400000000001,-29
752,Rutgers,62,Iowa,68,3,5,6,9,22,44,18,19,5,24,1394.3,1616.46,-222.16000000000008,-6
754,Boise State,81,Wyoming,65,1,3,5,7,23,59,26,16,15,13,1504.17,1306.98,197.19000000000005,16
760,Oklahoma State,65,TCU,68,1,3,13,12,23,62,15,14,11,10,1497.55,1510.74,-13.190000000000055,-3
762,DePaul,80,Butler,87,3,5,8,11,18,63,33,21,7,21,1410.84,1484.25,-73.41000000000008,-7
764,Indiana,72,Michigan,86,0,3,4,5,20,57,34,24,1,18,1568.65,1808.16,-239.51,-14
766,UCF,57,Iowa State,87,2,6,1,13,19,57,32,17,3,6,1610.01,1713.44,-103.43000000000006,-30
770,NC State,80,Clemson,76,2,1,7,6,24,57,23,19,6,25,1587.0,1634.32,-47.319999999999936,4
772,Saint Louis,81,Duquesne,77,0,4,10,9,29,57,20,22,22,25,1636.71,1313.12,323.59000000000015,4
774,Miami (OH),107,Kent State,101,0,2,7,9,22,70,31,25,8,34,1598.26,1470.86,127.40000000000009,6
784,Northern Illinois,77,Ohio,80,1,1,3,10,22,53,20,23,3,27,1107.89,1292.46,-184.56999999999994,-3
788,Ball State,68,Central Michigan,67,0,6,8,13,19,62,25,12,4,11,1141.5,1115.34,26.160000000000082,1
790,Oklahoma,76,South Carolina,85,0,9,8,12,23,63,27,18,15,22,1411.1,1393.94,17.159999999999854,-9
794,Minnesota,74,Ohio State,82,2,4,6,9,22,58,27,19,11,25,1407.51,1569.78,-162.26999999999998,-8
796,Akron,82,Buffalo,63,3,2,8,10,30,58,35,14,27,19,1570.49,1276.94,293.54999999999995,19
798,Toledo,82,Massachusetts,84,0,3,9,7,20,51,14,16,12,25,1325.26,1319.07,6.190000000000055,-2
800,North Carolina A&T,61,Hampton,82,1,2,2,9,25,57,15,14,11,13,1150.56,1233.71,-83.15000000000009,-21
802,Florida A&M,62,Mississippi Valley State,48,2,3,8,11,33,50,21,15,8,15,1175.67,880.93,294.7400000000001,14
804,Texas Southern,89,Jackson State,94,1,2,5,15,22,65,28,21,13,24,1131.23,1210.76,-79.52999999999997,-5
806,Northwestern State,80,Houston Christian,82,3,2,5,11,11,48,19,15,5,24,1146.1,1113.27,32.82999999999993,-2
808,Lamar,76,New Orleans,89,2,4,9,19,16,71,27,27,12,16,1260.6,1191.05,69.54999999999995,-13
810,Montana State,73,Northern Colorado,68,2,3,9,5,23,54,26,13,6,21,1303.86,1233.27,70.58999999999992,5
812,Montana,98,Northern Arizona,72,0,1,4,6,24,53,22,13,7,16,1389.75,1113.04,276.71000000000004,26
820,New Haven,62,Chicago State,56,1,3,5,13,23,48,27,12,13,14,1066.2,918.67,147.5300000000001,6
824,Bethune-Cookman,87,Arkansas-Pine Bluff,82,0,5,10,15,26,57,13,22,10,41,1270.66,1111.27,159.3900000000001,5
826,Princeton,69,Dartmouth,71,1,4,3,4,23,57,28,17,0,11,1252.82,1254.78,-1.9600000000000364,-2
828,Providence,104,Marquette,105,0,4,2,14,28,64,27,21,17,33,1336.14,1388.57,-52.429999999999836,-1
830,East Texas A&M,80,Incarnate Word,58,1,2,4,8,26,54,21,15,8,17,1090.49,1128.85,-38.3599999999999,22
832,George Washington,64,George Mason,69,1,4,8,7,25,57,25,18,15,11,1401.48,1598.84,-197.3599999999999,-5
834,Alabama A&M,73,Alabama State,69,0,3,15,6,19,51,20,13,21,29,1159.36,1131.53,27.829999999999927,4
844,Long Island University,77,Le Moyne,83,1,5,8,18,21,73,18,24,17,12,1301.89,1182.05,119.84000000000015,-6
846,Iona,63,Saint Peter's,77,2,4,5,7,24,56,32,24,10,22,1354.38,1323.38,31.0,-14
848,Sacred Heart,105,Rider,85,0,4,5,4,32,59,27,17,32,26,1200.63,1046.52,154.11000000000013,20
850,Cornell,89,Brown,67,0,4,6,8,26,58,29,15,13,21,1345.62,1195.45,150.16999999999985,22
852,Columbia,74,Yale,91,0,5,4,8,18,49,17,15,2,25,1277.53,1524.75,-247.22000000000003,-17
854,Fairfield,77,Siena,85,0,0,9,8,12,58,26,18,6,13,1238.99,1329.38,-90.3900000000001,-8
856,Mount St. Mary's,68,Niagara,58,0,5,8,11,25,52,20,15,15,21,1260.19,1023.36,236.83000000000004,10
858,Merrimack,68,Marist,55,2,3,7,3,25,44,17,15,6,27,1391.05,1341.33,49.72000000000003,13
860,Manhattan,92,Quinnipiac,98,3,6,12,12,19,71,20,20,16,23,1137.32,1351.39,-214.07000000000016,-6
864,Pennsylvania,63,Harvard,64,1,2,9,10,23,54,19,13,8,17,1249.03,1309.1,-60.069999999999936,-1
868,New Hampshire,65,Maine,48,1,2,7,11,28,59,18,21,6,15,1149.4,1096.06,53.340000000000146,17
872,Bryant,55,NJIT,79,1,3,3,9,21,48,25,16,7,24,1115.02,1160.31,-45.289999999999964,-24
876,Drexel,58,Towson,59,0,4,8,2,26,50,15,15,2,4,1320.67,1355.75,-35.07999999999993,-1
880,Northeastern,68,Monmouth,81,1,2,8,13,27,62,24,15,12,14,1168.08,1290.31,-122.23000000000002,-13
882,Washington State,80,San Francisco,85,0,0,6,6,17,59,21,18,9,3,1334.53,1418.17,-83.6400000000001,-5
884,Arizona State,73,Houston,103,0,2,8,13,17,54,25,11,17,24,1433.83,1772.45,-338.6200000000001,-30
886,UTSA,69,Memphis,95,1,8,6,14,19,65,31,17,3,9,1082.68,1450.87,-368.1899999999998,-26
888,North Texas,71,Tulane,63,3,3,6,17,30,57,22,22,8,27,1366.58,1347.61,18.970000000000027,8
892,Tulsa,99,UAB,77,0,4,2,6,31,64,26,15,2,10,1498.8,1422.92,75.87999999999988,22
894,Wichita State,86,South Florida,85,0,10,7,18,31,72,23,18,9,23,1437.96,1472.42,-34.460000000000036,1
896,Charlotte,73,East Carolina,70,2,3,1,6,31,48,21,19,4,13,1357.23,1202.22,155.01,3
898,Oakland,88,Green Bay,63,0,3,7,18,24,61,15,10,20,26,1405.88,1278.0,127.88000000000011,25
900,Milwaukee,82,Purdue Fort Wayne,100,0,2,3,10,24,60,17,15,7,21,1262.35,1360.86,-98.50999999999999,-18
904,Florida Atlantic,79,Temple,73,0,4,8,10,29,67,19,25,13,24,1453.21,1366.26,86.95000000000005,6
906,Penn State,73,Maryland,96,0,0,5,4,17,50,24,15,16,21,1322.93,1404.58,-81.64999999999986,-23
910,Kansas State,83,Oklahoma State,84,0,5,4,13,26,66,33,22,11,5,1406.21,1497.55,-91.33999999999992,-1
912,Northern Colorado,89,Sacramento State,93,0,3,5,8,31,68,28,25,14,13,1233.27,1093.27,140.0,-4
918,Montana,67,Montana State,76,0,2,3,3,27,53,21,19,8,14,1389.75,1303.86,85.8900000000001,-9
920,Idaho,75,Weber State,67,0,5,7,7,30,55,25,30,11,26,1227.0,1173.37,53.63000000000011,8
922,Tarleton State,71,Utah Tech,75,0,2,10,18,20,70,18,19,11,22,1204.34,1246.11,-41.76999999999998,-4
926,Abilene Christian,52,Southern Utah,74,1,3,12,18,21,63,18,14,9,25,1232.99,1124.6,108.3900000000001,-22
930,Louisville,100,Pittsburgh,59,0,2,6,6,29,57,29,16,10,15,1614.63,1355.73,258.9000000000001,41
932,New Mexico,79,San Diego State,83,1,2,10,9,26,61,30,22,10,21,1614.09,1612.65,1.4399999999998272,-4
934,Long Beach State,87,Cal State Northridge,80,1,10,8,6,26,58,30,21,18,28,1146.92,1325.03,-178.1099999999999,7
936,Cal State Fullerton,72,UC Riverside,81,0,3,11,10,22,60,25,19,22,31,1233.69,1212.25,21.440000000000055,-9
940,Omaha,73,Oral Roberts,62,0,3,7,4,26,56,18,20,11,18,1249.39,977.9,271.4900000000001,11
942,Belmont,73,Southern Illinois,68,0,7,7,13,28,62,25,18,9,23,1576.64,1293.51,283.1300000000001,5
946,Wyoming,60,Fresno State,63,1,2,3,13,23,54,19,22,10,12,1306.98,1261.6,45.38000000000011,-3
948,South Carolina Upstate,69,High Point,89,0,2,2,17,23,63,25,15,8,16,1109.33,1484.49,-375.1600000000001,-20
950,Robert Morris,92,Northern Kentucky,89,1,1,8,13,34,65,28,26,8,31,1345.59,1323.48,22.1099999999999,3
954,Campbell,75,UNC Wilmington,78,1,2,6,10,25,53,22,20,20,24,1201.36,1522.73,-321.3700000000001,-3
956,The Citadel,82,VMI,68,4,2,5,10,28,50,20,21,4,32,1068.57,1007.63,60.93999999999994,14
958,Bellarmine,69,Eastern Kentucky,89,1,0,7,9,15,50,23,18,11,29,1115.89,1137.52,-21.62999999999988,-20
960,Austin Peay,78,Lipscomb,82,0,3,7,10,23,64,21,15,9,16,1337.08,1376.51,-39.430000000000064,-4
962,Florida A&M,71,Arkansas-Pine Bluff,67,0,1,7,10,23,49,22,13,8,24,1175.67,1111.27,64.40000000000009,4
964,Bethune-Cookman,79,Mississippi Valley State,63,0,6,4,8,25,48,20,19,17,19,1270.66,880.93,389.73000000000013,16
968,Duke,80,Stanford,50,1,4,12,11,24,50,10,18,0,28,1802.92,1515.59,287.33000000000015,30
970,Michigan State,80,Washington,63,0,3,6,13,26,65,19,11,10,18,1726.57,1488.62,237.95000000000005,17
974,Pacific,81,Oregon State,64,3,1,5,9,22,57,21,25,9,15,1339.2,1332.8,6.400000000000091,17
976,Colorado,61,West Virginia,72,0,3,5,9,13,56,26,18,11,14,1417.81,1541.0,-123.19000000000005,-11
978,Wake Forest,69,Florida State,68,0,2,10,9,19,63,34,16,16,12,1428.04,1387.72,40.319999999999936,1
980,Stephen F. Austin,84,New Orleans,79,0,2,9,14,21,62,23,14,8,30,1411.9,1191.05,220.85000000000014,5
982,Eastern Washington,84,Idaho State,66,0,5,5,6,22,50,15,19,9,34,1084.45,1176.31,-91.8599999999999,18
984,Texas A&M,74,Texas,70,1,2,5,6,24,53,20,22,11,19,1624.51,1506.73,117.77999999999997,4
986,South Carolina,67,Auburn,71,0,4,5,13,26,58,25,21,3,20,1393.94,1640.92,-246.98000000000002,-4
988,Missouri State,87,Middle Tennessee,90,1,2,10,15,18,69,25,22,7,26,1273.11,1370.68,-97.57000000000016,-3
992,Kansas City,62,South Dakota State,90,0,3,4,11,17,58,23,14,11,13,969.67,1222.32,-252.64999999999998,-28
996,Southern,71,Grambling,53,1,7,16,10,22,56,22,21,24,22,1161.11,1128.18,32.929999999999836,18
998,Wofford,74,Furman,70,2,3,7,8,22,58,22,14,6,13,1401.04,1393.03,8.009999999999991,4
1000,UC Irvine,72,UC Davis,75,0,5,4,9,26,58,15,22,2,13,1480.4,1297.03,183.37000000000012,-3
1002,Northwestern State,74,Incarnate Word,76,2,1,7,5,18,47,16,20,10,25,1146.1,1128.85,17.25,-2
1004,Northern Arizona,52,Portland State,63,1,2,7,4,24,46,16,18,12,15,1113.04,1341.13,-228.09000000000015,-11
1006,Louisiana Tech,60,Jacksonville State,64,2,4,5,15,21,56,17,17,8,13,1355.08,1364.74,-9.660000000000082,-4
1008,SIU Edwardsville,68,Southeast Missouri State,55,4,5,8,7,24,51,17,11,12,17,1253.21,1274.69,-21.480000000000018,13
1010,Howard,83,North Carolina Central,69,1,4,11,17,26,66,23,16,17,15,1164.9,1100.06,64.84000000000015,14
1012,Norfolk State,89,South Carolina State,82,2,2,6,8,21,43,11,17,32,47,1165.69,1100.22,65.47000000000003,7
1014,Morgan State,80,Delaware State,79,0,5,1,9,23,60,24,27,12,27,1120.63,998.73,121.90000000000009,1
1020,East Texas A&M,70,Houston Christian,81,0,0,8,12,22,59,27,23,9,16,1090.49,1113.27,-22.779999999999973,-11
1022,Arkansas State,74,Troy,99,0,1,3,14,16,61,24,15,7,22,1340.45,1456.41,-115.96000000000004,-25
1026,Southern Indiana,67,Tennessee State,73,1,2,2,14,30,65,31,11,2,9,1001.13,1313.36,-312.2299999999999,-6
1030,Arizona,84,UCF,77,0,3,5,9,28,55,13,13,21,33,1826.82,1610.01,216.80999999999995,7
1032,Michigan,81,Oregon,71,0,7,6,12,24,51,23,14,11,30,1808.16,1389.56,418.60000000000014,10
1034,Nebraska,77,Northwestern,58,0,3,7,6,22,53,26,12,15,15,1720.83,1421.44,299.3899999999999,19
1036,North Carolina,78,California,84,0,4,10,10,24,56,27,15,10,28,1618.04,1485.28,132.76,-6
1038,Arkansas,76,Georgia,90,0,8,11,16,27,72,21,17,25,16,1664.33,1551.42,112.90999999999985,-14
1040,Indiana State,81,Murray State,85,2,3,8,12,23,66,16,20,11,15,1236.05,1444.73,-208.68000000000006,-4
1042,Texas Southern,72,Alcorn State,71,4,1,5,10,23,50,9,17,16,33,1131.23,1061.48,69.75,1
1044,Richmond,63,Saint Louis,88,1,3,8,9,22,59,20,16,10,21,1292.52,1636.71,-344.19000000000005,-25
1048,Nevada,81,Air Force,66,1,2,7,8,28,51,15,14,16,21,1532.39,1052.74,479.6500000000001,15
1052,Mercer,102,UNC Greensboro,92,0,4,5,11,26,51,20,18,11,41,1319.74,1202.61,117.13000000000011,10
1054,UC San Diego,83,Cal State Bakersfield,62,0,3,13,9,29,63,27,20,14,20,1394.03,1141.76,252.26999999999998,21
1058,Louisiana,59,South Alabama,56,1,8,6,5,22,55,42,9,7,4,1164.33,1408.04,-243.71000000000004,3
1060,James Madison,72,Marshall,77,1,6,7,15,21,61,28,25,9,20,1332.61,1324.68,7.929999999999836,-5
1062,Morehead State,76,Tennessee Tech,70,1,4,3,17,22,65,21,17,11,18,1240.73,1029.28,211.45000000000005,6
1064,Western Illinois,79,Little Rock,86,1,1,6,18,24,66,22,16,5,23,937.58,1196.72,-259.14,-7
1066,UT Arlington,74,Utah Valley,86,1,2,8,14,18,56,20,19,5,26,1369.43,1443.96,-74.52999999999997,-12
1072,Northern Iowa,44,Valparaiso,54,1,2,5,10,27,57,20,18,2,7,1356.14,1331.49,24.65000000000009,-10
1076,Quinnipiac,71,Merrimack,83,1,4,5,9,19,55,12,19,4,26,1351.39,1391.05,-39.659999999999854,-12
1078,Massachusetts,68,Northern Illinois,70,0,8,10,10,24,52,19,22,13,30,1319.07,1107.89,211.17999999999984,-2
1080,Pennsylvania,84,Dartmouth,74,0,1,3,13,27,64,21,20,9,31,1249.03,1254.78,-5.75,10
1082,Coastal Carolina,79,Georgia Southern,75,0,4,4,13,35,55,23,21,10,38,1290.79,1299.91,-9.120000000000118,4
1084,Jacksonville,90,North Alabama,68,0,2,9,9,25,59,14,21,9,18,1202.42,1128.68,73.74000000000001,22
1086,Kennesaw State,81,Western Kentucky,65,2,9,4,12,37,59,30,17,11,29,1353.78,1277.0,76.77999999999997,16
1088,UTEP,69,Liberty,80,1,2,4,3,18,51,23,10,7,4,1188.32,1586.41,-398.09000000000015,-11
1090,Utah State,74,Grand Canyon,84,0,3,7,22,21,69,28,27,9,23,1580.6,1516.78,63.819999999999936,-10
1092,St. Bonaventure,74,La Salle,78,1,1,10,12,11,61,19,16,16,9,1375.68,1244.31,131.37000000000012,-4
1094,Longwood,83,Radford,85,3,0,4,13,24,58,23,22,12,18,1188.89,1269.88,-80.99000000000001,-2
1098,Iowa State,70,Cincinnati,79,0,2,4,11,21,51,21,14,2,27,1713.44,1467.68,245.76,-9
1100,Florida,98,Vanderbilt,94,0,5,2,13,27,61,24,17,4,30,1669.21,1663.42,5.789999999999964,4
1102,Bradley,62,Illinois State,88,1,2,3,12,19,57,14,16,2,23,1448.33,1449.27,-0.9400000000000546,-26
1104,Bucknell,76,Colgate,95,1,1,6,5,19,55,26,15,6,24,1078.13,1291.69,-213.55999999999995,-19
1106,TCU,79,Utah,82,0,2,7,10,21,60,15,18,8,22,1510.74,1367.97,142.76999999999998,-3
1108,Rutgers,87,Wisconsin,96,0,3,4,11,22,63,30,24,13,19,1394.3,1610.82,-216.51999999999998,-9
1110,Iowa,74,Indiana,57,2,3,1,6,22,46,19,14,4,23,1616.46,1568.65,47.809999999999945,17
1112,Winthrop,69,UNC Asheville,67,1,1,5,12,30,52,26,24,16,30,1407.07,1243.7,163.3699999999999,2
1114,Presbyterian,92,Gardner-Webb,55,2,1,8,9,28,60,12,16,6,22,1185.99,998.94,187.04999999999995,37
1116,Rider,58,Saint Peter's,69,1,2,6,18,19,58,10,17,10,14,1046.52,1323.38,-276.8600000000001,-11
1118,Syracuse,73,Boston College,81,1,4,4,9,31,59,18,20,6,22,1404.49,1317.58,86.91000000000008,-8
1120,Navy,82,Lehigh,79,0,2,5,19,35,69,19,13,7,20,1344.01,1132.58,211.43000000000006,3
1122,Columbia,80,Brown,86,1,3,2,17,23,67,25,24,4,21,1277.53,1195.45,82.07999999999993,-6
1126,South Dakota,80,North Dakota,96,0,2,3,7,21,53,22,13,10,24,1237.53,1268.34,-30.809999999999945,-16
1128,Cornell,68,Yale,102,0,2,2,13,20,68,43,16,7,15,1345.62,1524.75,-179.1300000000001,-34
1130,Youngstown State,78,Cleveland State,80,0,4,9,20,18,73,43,27,18,16,1205.33,1211.48,-6.150000000000091,-2
1134,Western Michigan,89,Akron,104,1,2,2,11,17,61,26,15,8,14,1177.22,1570.49,-393.27,-15
1136,Fairfield,67,Marist,82,0,1,7,13,17,57,20,20,5,27,1238.99,1341.33,-102.33999999999992,-15
1138,Siena,74,Manhattan,59,0,3,5,9,28,57,24,14,3,3,1329.38,1137.32,192.06000000000017,15
1140,Princeton,80,Harvard,87,0,1,4,16,26,65,29,19,2,22,1252.82,1309.1,-56.27999999999997,-7
1142,Stonehill,62,Mercyhurst,57,0,1,3,9,33,52,16,17,6,24,1104.8,1196.36,-91.55999999999995,5
1146,Le Moyne,72,Chicago State,57,1,3,4,5,29,50,26,13,12,22,1182.05,918.67,263.38,15
1148,East Tennessee State,76,Samford,75,0,3,4,4,26,49,12,16,2,17,1350.19,1252.0,98.19000000000005,1
1150,West Georgia,72,Florida Gulf Coast,90,0,4,7,11,17,64,29,25,8,19,1117.36,1208.3,-90.94000000000005,-18
1154,North Florida,69,Central Arkansas,98,1,2,2,7,23,55,34,18,6,18,1073.09,1233.52,-160.43000000000006,-29
1156,Sam Houston,76,Florida International,63,1,2,10,13,28,59,29,23,4,26,1415.44,1203.74,211.70000000000005,13
1158,New Mexico State,97,Delaware,68,0,3,5,9,26,63,28,20,2,11,1228.12,1181.66,46.45999999999981,29
1160,Alabama,83,Oklahoma,81,1,3,7,14,29,66,33,14,11,26,1641.07,1411.1,229.97000000000003,2
1162,UCLA,74,Ohio State,86,1,4,6,14,13,62,23,20,2,19,1615.41,1569.78,45.63000000000011,-12
1164,Holy Cross,55,Lafayette,74,0,2,4,6,25,51,20,18,3,20,1086.35,1057.31,29.039999999999964,-19
1170,Buffalo,102,Miami (OH),105,1,2,7,8,28,65,26,23,14,23,1276.94,1598.26,-321.31999999999994,-3
1172,Wagner,74,New Haven,80,0,1,3,14,19,55,23,20,4,7,976.85,1066.2,-89.35000000000002,-6
